,amount,floor_number,rooms_number,size,month,year,Wartość
169,589765.5,1,2,45.9,10,2025,2.799999999999997
170,537251.0,7,2,31.79,10,2025,2.799999999999997
171,755000.0,3,2,39.56,10,2025,2.799999999999997
172,694629.81,2,2,54.26,10,2025,2.799999999999997
173,477573.4,4,2,38.47,10,2025,2.799999999999997
174,546156.39,3,2,37.31,10,2025,2.799999999999997
175,1029572.46,4,4,82.58,10,2025,2.799999999999997
176,763989.64,3,2,43.96,10,2025,2.799999999999997
177,902405.06,2,3,66.17,10,2025,2.799999999999997
178,1170005.16,3,3,65.96,10,2025,2.799999999999997
179,700000.0,6,2,33.4,10,2025,2.799999999999997
180,954294.76,1,3,66.03,10,2025,2.799999999999997
181,944422.0,2,3,63.98,10,2025,2.799999999999997
182,853896.0,3,3,61.5,10,2025,2.799999999999997
183,697716.43,2,2,47.93,10,2025,2.799999999999997
184,804387.2,5,2,37.42,10,2025,2.799999999999997
185,595000.0,4,2,40.52,10,2025,2.799999999999997
186,1138747.7,7,4,72.86,10,2025,2.799999999999997
187,840000.0,3,3,55.92,10,2025,2.799999999999997
188,687259.44,6,3,50.82,10,2025,2.799999999999997
189,638511.54,3,2,40.21,10,2025,2.799999999999997
190,698295.29,6,3,57.15,10,2025,2.799999999999997
191,685716.19,5,3,55.96,10,2025,2.799999999999997
192,520186.0,5,1,26.14,10,2025,2.799999999999997
193,760000.0,1,3,48.28,10,2025,2.799999999999997
194,670000.0,3,4,44.75,10,2025,2.799999999999997
195,300000.0,12,3,36.3,10,2025,2.799999999999997
196,455000.0,3,2,38.07,10,2025,2.799999999999997
197,690255.09,6,2,39.72,10,2025,2.799999999999997
198,560058.4,5,2,38.95,10,2025,2.799999999999997
199,407168.33,1,1,28.12,10,2025,2.799999999999997
200,1190088.94,5,4,61.59,10,2025,2.799999999999997
201,1167644.08,4,3,58.01,10,2025,2.799999999999997
202,1094790.0,5,3,54.99,10,2025,2.799999999999997
203,749430.17,1,2,41.43,10,2025,2.799999999999997
204,531662.0,8,2,44.29,10,2025,2.799999999999997
205,540000.0,3,2,30.77,10,2025,2.799999999999997
206,412835.0,2,2,32.45,10,2025,2.799999999999997
207,740596.82,2,3,59.09,10,2025,2.799999999999997
208,978579.9,5,3,60.84,10,2025,2.799999999999997
209,699000.0,3,1,32.67,10,2025,2.799999999999997
210,1188900.18,7,3,69.85,10,2025,2.799999999999997
211,1288742.0,2,3,69.67,10,2025,2.799999999999997
212,737011.8,6,2,39.93,10,2025,2.799999999999997
213,554233.62,3,1,31.3,10,2025,2.799999999999997
214,544190.5,4,1,31.15,10,2025,2.799999999999997
215,530395.4,2,1,31.09,10,2025,2.799999999999997
216,480000.0,3,2,29.07,10,2025,2.799999999999997
217,520000.0,4,2,42.4,10,2025,2.799999999999997
218,600000.0,3,3,48.3,10,2025,2.799999999999997
219,537600.0,4,2,31.9,10,2025,2.799999999999997
220,687000.0,1,2,47.76,10,2025,2.799999999999997
221,760000.0,4,4,61.52,10,2025,2.799999999999997
222,220000.0,1,1,23.65,10,2025,2.799999999999997
223,345000.0,2,1,20.97,10,2025,2.799999999999997
224,780000.0,3,2,57.4,10,2025,2.799999999999997
225,1045000.0,3,4,73.61,10,2025,2.799999999999997
226,500000.0,6,2,36.53,10,2025,2.799999999999997
227,995000.0,2,3,57.26,10,2025,2.799999999999997
228,483160.0,1,1,25.62,10,2025,2.799999999999997
229,462000.0,4,2,39.92,10,2025,2.799999999999997
230,636000.0,6,2,37.71,10,2025,2.799999999999997
231,700000.0,2,3,51.75,10,2025,2.799999999999997
232,837814.12,6,3,66.02,10,2025,2.799999999999997
233,1025027.3,5,3,82.79,10,2025,2.799999999999997
234,1029644.02,2,5,89.81,10,2025,2.799999999999997
235,1004472.17,4,3,62.16,10,2025,2.799999999999997
236,702980.83,3,3,58.56,10,2025,2.799999999999997
237,965000.0,2,3,60.4,10,2025,2.799999999999997
238,571098.58,2,2,38.44,10,2025,2.799999999999997
239,504465.5,1,2,37.27,10,2025,2.799999999999997
240,1280000.0,1,2,78.63,12,2024,4.700000000000003
241,585000.0,4,3,33.5,10,2025,2.799999999999997
242,560000.0,1,3,42.3,10,2025,2.799999999999997
243,710000.0,4,2,36.51,10,2025,2.799999999999997
244,590000.0,3,3,46.45,10,2025,2.799999999999997
245,540000.0,1,2,41.49,7,2024,4.200000000000003
246,1100000.0,6,3,58.33,10,2025,2.799999999999997
247,700190.0,4,3,54.21,10,2025,2.799999999999997
248,599104.0,2,3,47.03,10,2025,2.799999999999997
249,639708.6,1,2,43.95,10,2025,2.799999999999997
250,508965.0,4,2,38.34,10,2025,2.799999999999997
251,432150.0,6,2,35.14,10,2025,2.799999999999997
252,429737.5,3,2,33.87,10,2025,2.799999999999997
253,620000.0,3,2,31.97,10,2025,2.799999999999997
254,720000.0,6,2,43.72,10,2025,2.799999999999997
255,740000.0,5,3,49.74,10,2025,2.799999999999997
256,520000.0,3,2,27.5,10,2025,2.799999999999997
257,590000.0,5,2,29.99,10,2025,2.799999999999997
258,440000.0,3,2,24.5,10,2025,2.799999999999997
259,870000.0,2,3,50.8,10,2025,2.799999999999997
260,750000.0,1,2,44.84,10,2025,2.799999999999997
261,730000.0,4,2,40.55,3,2025,4.900000000000006
262,535000.0,2,3,45.03,10,2025,2.799999999999997
263,745000.0,2,3,48.9,10,2025,2.799999999999997
264,485000.0,2,2,34.94,10,2025,2.799999999999997
265,545000.0,4,1,32.5,1,2024,3.700000000000003
266,1274600.0,7,3,71.6,10,2025,2.799999999999997
267,1074000.0,5,3,52.07,10,2025,2.799999999999997
268,766421.0,1,2,40.41,10,2025,2.799999999999997
269,369722.0,1,1,25.2,10,2025,2.799999999999997
270,547436.0,2,2,44.66,10,2025,2.799999999999997
271,540873.0,5,2,44.56,10,2025,2.799999999999997
