sale_rcn_id,name,amount,amount_sqm,floor_number,rooms_number,type,currency,size,creation_date,invest_name,invest_city
222537,146506_8.0320.14/9.1_BUD.176_LOK,656000,17127.94,8,2,mieszkalna,PLN,38.3,2024-01-19,Ulica Wacława Sierpińskiego 1A,Warszawa
185255,146513_8.1022.41.1_BUD.67_LOK,1200000,13722.13,3,4,mieszkalna,PLN,87.45,2024-01-19,Aleja Komisji Edukacji Narodowej 55,Warszawa
218302,146506_8.0314.4.1_BUD.9_LOK,770000,17401.13,3,4,mieszkalna,PLN,44.25,2023-08-01,Ulica Karola Dickensa 7,Warszawa
153940,146503_8.1602.106/2.15_BUD.52_LOK,600000,10889.29,1,3,mieszkalna,PLN,55.1,2020-12-18,Ulica Żeglugi Wiślanej 11,Warszawa
217937,146503_8.0123.2.1_BUD.148_LOK,600000,13793.1,2,3,mieszkalna,PLN,43.5,2024-01-18,Ulica Odkryta 1,Warszawa
222181,146502_8.1208.5.3_BUD.158_LOK,640000,16745.16,6,2,mieszkalna,PLN,38.22,2024-01-18,Ulica Świetlików 8,Warszawa
82527,146513_8.1109.26.1_BUD.244_LOK,635000,16759.04,4,1,mieszkalna,PLN,37.89,2017-09-08,Aleja Komisji Edukacji Narodowej 36,Warszawa
226902,146505_8.0226.1_BUD.74_LOK,660000,13658.94,9,4,mieszkalna,PLN,48.32,2024-01-18,Ulica Bukowińska 26,Warszawa
55884,146510_8.0603.21/4.2_BUD.10_LOK,10200000,41205.46,5,3,mieszkalna,PLN,247.54,2018-10-15,Ulica Wioślarska 10,Warszawa
130990,146503_8.0103.60.1_BUD.112_LOK,566000,12719.1,1,2,mieszkalna,PLN,44.5,2019-06-26,Ulica Aluzyjna 23G,Warszawa
241242,146512_8.1115.211_BUD.46_LOK,645000,15579.71,1,2,mieszkalna,PLN,41.4,2025-05-05,Ulica Ryżowa 48,Warszawa
237847,146519_8.0302.69_BUD.37_LOK,1165000,21470.7,6,3,mieszkalna,PLN,54.26,2025-05-05,Ulica Kaliny Jędrusik 6,Warszawa
249076,146507_8.0606.186_BUD.131_LOK,556367.5,13250,3,2,mieszkalna,PLN,41.99,2025-05-05,Ulica Władysława Umińskiego 2,Warszawa
249078,146507_8.0606.186_BUD.27_LOK,918480,12000,6,3,mieszkalna,PLN,76.54,2025-05-05,Ulica Władysława Umińskiego 2,Warszawa
249077,146507_8.0606.186_BUD.41_LOK,744915,13250,4,3,mieszkalna,PLN,56.22,2025-05-05,Ulica Władysława Umińskiego 2,Warszawa
257817,146517_8.0503.127_BUD.70_LOK,614520.5,14694.42,5,2,mieszkalna,PLN,41.82,2025-05-05,Ulica Przedpole 8,Warszawa
244495,146502_8.1305.113_BUD.19_LOK,422097.76,13677.83,5,2,mieszkalna,PLN,30.86,2025-05-05,Ulica Lazurowa 21,Warszawa
244496,146502_8.1305.113_BUD.24_LOK,855140.4,11898.43,5,4,mieszkalna,PLN,71.87,2025-05-05,Ulica Lazurowa 21,Warszawa
254198,146502_8.1305.113_BUD.50_LOK,825945.28,12059.36,7,4,mieszkalna,PLN,68.49,2025-05-05,Ulica Lazurowa 21,Warszawa
